Record Length,2500,Points,-25.20000E-9,120.0000E-3,,Record Length,2500,Points,-25.20000E-9,3.44000,
Sample Interval,40.00000E-12,s,-25.16000E-9,120.0000E-3,,Sample Interval,40.00000E-12,s,-25.16000E-9,3.44000,
Trigger Point,630.000010,Samples,-25.12000E-9,120.0000E-3,,Trigger Point,630.000010,Samples,-25.12000E-9,3.44000,
,,,-25.08000E-9,120.0000E-3,,,,,-25.08000E-9,3.44000,
,,,-25.04000E-9,120.0000E-3,,,,,-25.04000E-9,3.44000,
,,,-25.00000E-9,120.0000E-3,,,,,-25.00000E-9,3.44000,
Source,CH1,,-24.96000E-9,120.0000E-3,,Source,CH2,,-24.96000E-9,3.44000,
Vertical Units,Volts,,-24.92000E-9,120.0000E-3,,Vertical Units,Volts,,-24.92000E-9,3.44000,
Vertical Scale,1.000,,-24.88000E-9,120.0000E-3,,Vertical Scale,1.000,,-24.88000E-9,3.44000,
Vertical Offset,0,,-24.84000E-9,120.0000E-3,,Vertical Offset,0,,-24.84000E-9,3.44000,
Horizontal Units,s,,-24.80000E-9,120.0000E-3,,Horizontal Units,s,,-24.80000E-9,3.44000,
Horizontal Scale,10.00000E-9,,-24.76000E-9,120.0000E-3,,Horizontal Scale,10.00000E-9,,-24.76000E-9,3.44000,
Pt Fmt,Y,,-24.72000E-9,120.0000E-3,,Pt Fmt,Y,,-24.72000E-9,3.44000,
Yzero,-2.1600,,-24.68000E-9,120.0000E-3,,Yzero,-600.000000E-3,,-24.68000E-9,3.44000,
Probe Atten,1.000,,-24.64000E-9,120.0000E-3,,Probe Atten,1.000,,-24.64000E-9,3.44000,
,,,-24.60000E-9,120.0000E-3,,,,,-24.60000E-9,3.44000,
Note,TDS 1012B - 18:16:26   21/03/2017,,-24.56000E-9,120.0000E-3,,Note,TDS 1012B - 18:16:26   21/03/2017,,-24.56000E-9,3.44000,
,,,-24.52000E-9,120.0000E-3,,,,,-24.52000E-9,3.44000,
,,,-24.48000E-9,120.0000E-3,,,,,-24.48000E-9,3.44000,
,,,-24.44000E-9,120.0000E-3,,,,,-24.44000E-9,3.44000,
,,,-24.40000E-9,120.0000E-3,,,,,-24.40000E-9,3.44000,
,,,-24.36000E-9,120.0000E-3,,,,,-24.36000E-9,3.44000,
,,,-24.32000E-9,120.0000E-3,,,,,-24.32000E-9,3.44000,
,,,-24.28000E-9,120.0000E-3,,,,,-24.28000E-9,3.44000,
,,,-24.24000E-9,120.0000E-3,,,,,-24.24000E-9,3.44000,
,,,-24.20000E-9,120.0000E-3,,,,,-24.20000E-9,3.44000,
,,,-24.16000E-9,120.0000E-3,,,,,-24.16000E-9,3.44000,
,,,-24.12000E-9,120.0000E-3,,,,,-24.12000E-9,3.44000,
,,,-24.08000E-9,120.0000E-3,,,,,-24.08000E-9,3.44000,
,,,-24.04000E-9,120.0000E-3,,,,,-24.04000E-9,3.44000,
,,,-24.00000E-9,120.0000E-3,,,,,-24.00000E-9,3.44000,
,,,-23.96000E-9,120.0000E-3,,,,,-23.96000E-9,3.44000,
,,,-23.92000E-9,120.0000E-3,,,,,-23.92000E-9,3.44000,
,,,-23.88000E-9,120.0000E-3,,,,,-23.88000E-9,3.44000,
,,,-23.84000E-9,120.0000E-3,,,,,-23.84000E-9,3.44000,
,,,-23.80000E-9,120.0000E-3,,,,,-23.80000E-9,3.44000,
,,,-23.76000E-9,120.0000E-3,,,,,-23.76000E-9,3.44000,
,,,-23.72000E-9,120.0000E-3,,,,,-23.72000E-9,3.44000,
,,,-23.68000E-9,120.0000E-3,,,,,-23.68000E-9,3.44000,
,,,-23.64000E-9,120.0000E-3,,,,,-23.64000E-9,3.44000,
,,,-23.60000E-9,120.0000E-3,,,,,-23.60000E-9,3.44000,
,,,-23.56000E-9,120.0000E-3,,,,,-23.56000E-9,3.44000,
,,,-23.52000E-9,120.0000E-3,,,,,-23.52000E-9,3.44000,
,,,-23.48000E-9,120.0000E-3,,,,,-23.48000E-9,3.44000,
,,,-23.44000E-9,120.0000E-3,,,,,-23.44000E-9,3.44000,
,,,-23.40000E-9,120.0000E-3,,,,,-23.40000E-9,3.44000,
,,,-23.36000E-9,120.0000E-3,,,,,-23.36000E-9,3.44000,
,,,-23.32000E-9,120.0000E-3,,,,,-23.32000E-9,3.44000,
,,,-23.28000E-9,120.0000E-3,,,,,-23.28000E-9,3.44000,
,,,-23.24000E-9,120.0000E-3,,,,,-23.24000E-9,3.44000,
,,,-23.20000E-9,120.0000E-3,,,,,-23.20000E-9,3.44000,
,,,-23.16000E-9,120.0000E-3,,,,,-23.16000E-9,3.44000,
,,,-23.12000E-9,120.0000E-3,,,,,-23.12000E-9,3.44000,
,,,-23.08000E-9,120.0000E-3,,,,,-23.08000E-9,3.44000,
,,,-23.04000E-9,120.0000E-3,,,,,-23.04000E-9,3.44000,
,,,-23.00000E-9,120.0000E-3,,,,,-23.00000E-9,3.44000,
,,,-22.96000E-9,120.0000E-3,,,,,-22.96000E-9,3.44000,
,,,-22.92000E-9,120.0000E-3,,,,,-22.92000E-9,3.44000,
,,,-22.88000E-9,120.0000E-3,,,,,-22.88000E-9,3.44000,
,,,-22.84000E-9,120.0000E-3,,,,,-22.84000E-9,3.44000,
,,,-22.80000E-9,120.0000E-3,,,,,-22.80000E-9,3.44000,
,,,-22.76000E-9,120.0000E-3,,,,,-22.76000E-9,3.44000,
,,,-22.72000E-9,120.0000E-3,,,,,-22.72000E-9,3.44000,
,,,-22.68000E-9,120.0000E-3,,,,,-22.68000E-9,3.44000,
,,,-22.64000E-9,120.0000E-3,,,,,-22.64000E-9,3.44000,
,,,-22.60000E-9,120.0000E-3,,,,,-22.60000E-9,3.44000,
,,,-22.56000E-9,160.00000E-3,,,,,-22.56000E-9,3.44000,
,,,-22.52000E-9,160.00000E-3,,,,,-22.52000E-9,3.44000,
,,,-22.48000E-9,160.00000E-3,,,,,-22.48000E-9,3.44000,
,,,-22.44000E-9,160.00000E-3,,,,,-22.44000E-9,3.44000,
,,,-22.40000E-9,160.00000E-3,,,,,-22.40000E-9,3.44000,
,,,-22.36000E-9,160.00000E-3,,,,,-22.36000E-9,3.44000,
,,,-22.32000E-9,160.00000E-3,,,,,-22.32000E-9,3.44000,
,,,-22.28000E-9,160.00000E-3,,,,,-22.28000E-9,3.44000,
,,,-22.24000E-9,160.00000E-3,,,,,-22.24000E-9,3.44000,
,,,-22.20000E-9,160.00000E-3,,,,,-22.20000E-9,3.44000,
,,,-22.16000E-9,160.00000E-3,,,,,-22.16000E-9,3.44000,
,,,-22.12000E-9,160.00000E-3,,,,,-22.12000E-9,3.44000,
,,,-22.08000E-9,160.00000E-3,,,,,-22.08000E-9,3.44000,
,,,-22.04000E-9,160.00000E-3,,,,,-22.04000E-9,3.44000,
,,,-22.00000E-9,160.00000E-3,,,,,-22.00000E-9,3.44000,
,,,-21.96000E-9,160.00000E-3,,,,,-21.96000E-9,3.44000,
,,,-21.92000E-9,160.00000E-3,,,,,-21.92000E-9,3.44000,
,,,-21.88000E-9,160.00000E-3,,,,,-21.88000E-9,3.44000,
,,,-21.84000E-9,160.00000E-3,,,,,-21.84000E-9,3.44000,
,,,-21.80000E-9,160.00000E-3,,,,,-21.80000E-9,3.44000,
,,,-21.76000E-9,160.00000E-3,,,,,-21.76000E-9,3.44000,
,,,-21.72000E-9,160.00000E-3,,,,,-21.72000E-9,3.44000,
,,,-21.68000E-9,160.00000E-3,,,,,-21.68000E-9,3.44000,
,,,-21.64000E-9,160.00000E-3,,,,,-21.64000E-9,3.44000,
,,,-21.60000E-9,160.00000E-3,,,,,-21.60000E-9,3.44000,
,,,-21.56000E-9,160.00000E-3,,,,,-21.56000E-9,3.44000,
,,,-21.52000E-9,160.00000E-3,,,,,-21.52000E-9,3.44000,
,,,-21.48000E-9,160.00000E-3,,,,,-21.48000E-9,3.44000,
,,,-21.44000E-9,160.00000E-3,,,,,-21.44000E-9,3.44000,
,,,-21.40000E-9,160.00000E-3,,,,,-21.40000E-9,3.44000,
,,,-21.36000E-9,160.00000E-3,,,,,-21.36000E-9,3.44000,
,,,-21.32000E-9,160.00000E-3,,,,,-21.32000E-9,3.44000,
,,,-21.28000E-9,120.0000E-3,,,,,-21.28000E-9,3.44000,
,,,-21.24000E-9,120.0000E-3,,,,,-21.24000E-9,3.44000,
,,,-21.20000E-9,120.0000E-3,,,,,-21.20000E-9,3.44000,
,,,-21.16000E-9,120.0000E-3,,,,,-21.16000E-9,3.44000,
,,,-21.12000E-9,120.0000E-3,,,,,-21.12000E-9,3.44000,
,,,-21.08000E-9,120.0000E-3,,,,,-21.08000E-9,3.44000,
,,,-21.04000E-9,120.0000E-3,,,,,-21.04000E-9,3.44000,
,,,-21.00000E-9,120.0000E-3,,,,,-21.00000E-9,3.44000,
,,,-20.96000E-9,120.0000E-3,,,,,-20.96000E-9,3.44000,
,,,-20.92000E-9,120.0000E-3,,,,,-20.92000E-9,3.44000,
,,,-20.88000E-9,120.0000E-3,,,,,-20.88000E-9,3.44000,
,,,-20.84000E-9,120.0000E-3,,,,,-20.84000E-9,3.44000,
,,,-20.80000E-9,120.0000E-3,,,,,-20.80000E-9,3.44000,
,,,-20.76000E-9,120.0000E-3,,,,,-20.76000E-9,3.44000,
,,,-20.72000E-9,120.0000E-3,,,,,-20.72000E-9,3.44000,
,,,-20.68000E-9,120.0000E-3,,,,,-20.68000E-9,3.44000,
,,,-20.64000E-9,120.0000E-3,,,,,-20.64000E-9,3.44000,
,,,-20.60000E-9,120.0000E-3,,,,,-20.60000E-9,3.44000,
,,,-20.56000E-9,120.0000E-3,,,,,-20.56000E-9,3.44000,
,,,-20.52000E-9,120.0000E-3,,,,,-20.52000E-9,3.44000,
,,,-20.48000E-9,120.0000E-3,,,,,-20.48000E-9,3.44000,
,,,-20.44000E-9,120.0000E-3,,,,,-20.44000E-9,3.44000,
,,,-20.40000E-9,120.0000E-3,,,,,-20.40000E-9,3.44000,
,,,-20.36000E-9,120.0000E-3,,,,,-20.36000E-9,3.44000,
,,,-20.32000E-9,120.0000E-3,,,,,-20.32000E-9,3.44000,
,,,-20.28000E-9,120.0000E-3,,,,,-20.28000E-9,3.44000,
,,,-20.24000E-9,120.0000E-3,,,,,-20.24000E-9,3.44000,
,,,-20.20000E-9,120.0000E-3,,,,,-20.20000E-9,3.44000,
,,,-20.16000E-9,120.0000E-3,,,,,-20.16000E-9,3.44000,
,,,-20.12000E-9,120.0000E-3,,,,,-20.12000E-9,3.44000,
,,,-20.0800E-9,79.999998E-3,,,,,-20.0800E-9,3.44000,
,,,-20.0400E-9,79.999998E-3,,,,,-20.0400E-9,3.44000,
,,,-20.0000E-9,79.999998E-3,,,,,-20.0000E-9,3.44000,
,,,-19.9600E-9,79.999998E-3,,,,,-19.9600E-9,3.44000,
,,,-19.9200E-9,79.999998E-3,,,,,-19.9200E-9,3.44000,
,,,-19.8800E-9,79.999998E-3,,,,,-19.8800E-9,3.44000,
